,Date,temperature
0,1995-01-01,72.4
1,1995-01-02,73.5
2,1995-01-03,72.6
3,1995-01-04,75.2
4,1995-01-05,74.8
5,1995-01-06,76.4
6,1995-01-07,78.4
7,1995-01-08,78.6
8,1995-01-09,78.1
9,1995-01-10,79.3
10,1995-01-11,77.9
11,1995-01-12,79.0
12,1995-01-13,73.4
13,1995-01-14,76.7
14,1995-01-15,73.7
15,1995-01-16,77.0
16,1995-01-17,71.1
17,1995-01-18,72.6
18,1995-01-19,76.1
19,1995-01-20,75.7
20,1995-01-21,74.2
21,1995-01-22,74.3
22,1995-01-23,74.8
23,1995-01-24,75.1
24,1995-01-25,75.0
25,1995-01-26,76.7
26,1995-01-27,75.8
27,1995-01-28,74.7
28,1995-01-29,75.1
29,1995-01-30,77.2
30,1995-01-31,77.9
31,1995-02-01,77.9
32,1995-02-02,76.8
33,1995-02-03,78.2
34,1995-02-04,78.2
35,1995-02-05,78.9
36,1995-02-06,78.8
37,1995-02-07,76.9
38,1995-02-08,76.8
39,1995-02-09,77.8
40,1995-02-10,77.9
41,1995-02-11,77.7
42,1995-02-12,77.1
43,1995-02-13,76.6
44,1995-02-14,76.9
45,1995-02-15,77.3
46,1995-02-16,79.7
47,1995-02-17,80.9
48,1995-02-18,81.9
49,1995-02-19,81.9
50,1995-02-20,81.2
51,1995-02-21,80.2
52,1995-02-22,80.2
53,1995-02-23,79.5
54,1995-02-24,80.6
55,1995-02-25,79.8
56,1995-02-26,78.7
57,1995-02-27,81.0
58,1995-02-28,80.2
59,1995-03-01,80.3
60,1995-03-02,80.6
61,1995-03-03,80.8
62,1995-03-04,80.6
63,1995-03-05,82.4
64,1995-03-06,81.2
65,1995-03-07,79.6
66,1995-03-08,80.4
67,1995-03-09,80.2
68,1995-03-10,80.7
69,1995-03-11,82.1
70,1995-03-12,82.2
71,1995-03-13,81.5
72,1995-03-14,82.0
73,1995-03-15,81.4
74,1995-03-16,81.8
75,1995-03-17,81.0
76,1995-03-18,82.5
77,1995-03-19,83.8
78,1995-03-20,82.4
79,1995-03-21,81.6
80,1995-03-22,81.8
81,1995-03-23,83.7
82,1995-03-24,83.3
83,1995-03-25,84.0
84,1995-03-26,84.2
85,1995-03-27,82.6
86,1995-03-28,84.2
87,1995-03-29,84.65
88,1995-03-30,85.1
89,1995-03-31,84.3
90,1995-04-01,84.7
91,1995-04-02,84.6
92,1995-04-03,84.2
93,1995-04-04,84.5
94,1995-04-05,84.3
95,1995-04-06,84.6
96,1995-04-07,86.1
97,1995-04-08,88.1
98,1995-04-09,87.2
99,1995-04-10,85.4
100,1995-04-11,84.7
101,1995-04-12,83.8
102,1995-04-13,86.8
103,1995-04-14,86.4
104,1995-04-15,85.3
105,1995-04-16,84.8
106,1995-04-17,86.8
107,1995-04-18,86.9
108,1995-04-19,86.0
109,1995-04-20,85.2
110,1995-04-21,86.3
111,1995-04-22,86.7
112,1995-04-23,88.3
113,1995-04-24,87.5
114,1995-04-25,88.5
115,1995-04-26,87.1
116,1995-04-27,86.6
117,1995-04-28,87.5
118,1995-04-29,88.2
119,1995-04-30,88.4
120,1995-05-01,88.4
121,1995-05-02,89.2
122,1995-05-03,88.1
123,1995-05-04,87.9
124,1995-05-05,82.1
125,1995-05-06,77.8
126,1995-05-07,78.3
127,1995-05-08,78.3
128,1995-05-09,84.6
129,1995-05-10,85.1
130,1995-05-11,90.1
131,1995-05-12,89.9
132,1995-05-13,87.9
133,1995-05-14,88.7
134,1995-05-15,87.3
135,1995-05-16,89.2
136,1995-05-17,89.6
137,1995-05-18,89.4
138,1995-05-19,86.5
139,1995-05-20,83.3
140,1995-05-21,86.5
141,1995-05-22,87.2
142,1995-05-23,88.6
143,1995-05-24,87.1
144,1995-05-25,85.0
145,1995-05-26,86.6
146,1995-05-27,86.1
147,1995-05-28,87.1
148,1995-05-29,88.8
149,1995-05-30,90.3
150,1995-05-31,91.0
151,1995-06-01,90.5
152,1995-06-02,91.0
153,1995-06-03,90.7
154,1995-06-04,92.2
155,1995-06-05,91.9
156,1995-06-06,92.6
157,1995-06-07,94.1
158,1995-06-08,92.1
159,1995-06-09,92.7
160,1995-06-10,93.9
161,1995-06-11,90.2
162,1995-06-12,89.7
163,1995-06-13,88.3
164,1995-06-14,88.8
165,1995-06-15,89.2
166,1995-06-16,87.5
167,1995-06-17,88.4
168,1995-06-18,89.7
169,1995-06-19,89.9
170,1995-06-20,91.3
171,1995-06-21,86.5
172,1995-06-22,85.3
173,1995-06-23,84.1
174,1995-06-24,85.6
175,1995-06-25,85.1
176,1995-06-26,87.4
177,1995-06-27,86.7
178,1995-06-28,85.0
179,1995-06-29,87.3
180,1995-06-30,88.9
181,1995-07-01,89.4
182,1995-07-02,90.3
183,1995-07-03,89.7
184,1995-07-04,89.6
185,1995-07-05,90.3
186,1995-07-06,88.0
187,1995-07-07,87.7
188,1995-07-08,87.6
189,1995-07-09,86.5
190,1995-07-10,81.0
191,1995-07-11,83.9
192,1995-07-12,84.5
193,1995-07-13,86.2
194,1995-07-14,83.6
195,1995-07-15,83.8
196,1995-07-16,84.5
197,1995-07-17,85.6
198,1995-07-18,84.1
199,1995-07-19,83.7
200,1995-07-20,84.8
201,1995-07-21,86.3
202,1995-07-22,85.8
203,1995-07-23,84.7
204,1995-07-24,85.3
205,1995-07-25,81.2
206,1995-07-26,85.1
207,1995-07-27,81.6
208,1995-07-28,83.2
209,1995-07-29,83.4
210,1995-07-30,86.0
211,1995-07-31,84.9
212,1995-08-01,87.1
213,1995-08-02,86.9
214,1995-08-03,86.5
215,1995-08-04,86.1
216,1995-08-05,84.6
217,1995-08-06,85.5
218,1995-08-07,81.1
219,1995-08-08,82.9
220,1995-08-09,83.5
221,1995-08-10,85.2
222,1995-08-11,82.9
223,1995-08-12,86.1
224,1995-08-13,85.4
225,1995-08-14,82.9
226,1995-08-15,81.3
227,1995-08-16,85.5
228,1995-08-17,86.3
229,1995-08-18,81.0
230,1995-08-19,82.9
231,1995-08-20,84.8
232,1995-08-21,83.5
233,1995-08-22,84.2
234,1995-08-23,82.7
235,1995-08-24,85.3
236,1995-08-25,83.3
237,1995-08-26,83.4
238,1995-08-27,85.1
239,1995-08-28,83.9
